,tokens,h,t,relation,relation_definition,r_pid,has_relation,relation_prop_wiki,possible_probs
10,"['During', 'an', 'illness', 'in', 'December', '1835', ',', 'his', 'daughter', 'Grace', 'sent', 'a', 'ship', 'to', 'collect', 'him', 'and', 'his', 'wife', 'Kaōanāeha', '.']","['kaōanāeha', 'Q6381943', [[19]]]","['grace', 'Q5591238', [[9]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6381943'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5591238'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6381943'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5591238'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
11,"['His', 'mother', 'was', 'Willa', 'of', 'Tuscany', ',', 'his', 'elder', 'brother', 'was', 'Adalbert', 'II', ',', 'co', '-', 'king', 'with', 'their', 'father', ',', 'and', 'their', 'younger', 'brother', 'was', 'Conrad', '.']","['willa of tuscany', 'Q2054995', [[3, 4, 5]]]","['conrad', 'Q2609173', [[26]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2054995'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2609173'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2054995'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2609173'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
12,"['April', 'Margera', 'is', 'married', 'to', 'Phil', 'Margera', 'and', 'together', 'they', 'are', 'the', 'parents', 'of', 'skateboarder', 'and', '""', 'Jackass', '""', 'star', ',', 'Bam', 'Margera', 'and', 'CKY', 'drummer', 'Jess', 'Margera', '.']","['april margera', 'Q3499119', [[0, 1]]]","['jess margera', 'Q609196', [[26, 27]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3499119'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q609196'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3499119'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q609196'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
13,"['The', 'conflict', 'was', 'a', 'succession', 'crisis', 'precipitated', 'by', 'the', 'accidental', 'death', 'of', 'William', 'Adelin', ',', 'the', 'only', 'legitimate', 'son', 'of', 'Henry', 'I', ',', 'in', '1120', '.']","['henry i', 'Q101384', [[20, 21]]]","['william adelin', 'Q362113', [[12, 13]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q101384'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q362113'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q101384'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q362113'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
14,"['She', 'married', 'Ratikant', 'Mohapatra', ',', 'son', 'of', 'Guru', 'Kelucharan', 'Mohapatra', '.']","['kelucharan mohapatra', 'Q3503124', [[8, 9]]]","['ratikant mohapatra', 'Q5001245', [[2, 3]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3503124'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5001245'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3503124'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5001245'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
15,"['His', 'wife', 'Komal', ',', 'Paras', 'and', 'daughter', 'Prerana', 'were', 'in', 'the', 'room', 'at', 'the', 'royal', 'palace', 'during', 'the', 'massacre', '.']","['komal', 'Q1134149', [[2]]]","['prerana', 'Q4202325', [[7]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1134149'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4202325'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1134149'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4202325'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
16,"['Maxwell', 'is', 'the', 'son', 'of', 'Elisabeth', '(', 'née', 'Meynard', ')', 'and', 'Robert', 'Maxwell', ',', 'and', 'brother', 'of', 'Ian', 'Maxwell', '.']","['robert maxwell', 'Q333468', [[11, 12]]]","['ian maxwell', 'Q5982230', [[17, 18]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q333468'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5982230'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q333468'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5982230'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
17,"['His', 'uncle', 'was', 'polymath', 'Lionel', 'Penrose', ',', 'whose', 'children', 'include', 'mathematician', 'Oliver', 'Penrose', ',', 'polymath', 'Sir', 'Roger', 'Penrose', ',', 'chess', 'grandmaster', 'Jonathan', 'Penrose', ',', 'and', 'geneticist', 'Shirley', 'Hodgson', '.']","['lionel penrose', 'Q339375', [[4, 5]]]","['oliver penrose', 'Q339385', [[11, 12]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q339375'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q339385'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q339375'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q339385'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
18,"['""', 'Astronomica', '2.9', '""', 'If', 'Belus', 'was', 'his', 'father', ',', 'he', 'had', 'Anchinoe', ',', 'daughter', 'of', 'Nilus', 'as', 'mother', ',', 'and', 'Danaus', ',', 'Aegyptus', 'and', 'Phineus', 'as', 'brothers', '.']","['nilus', 'Q685243', [[16]]]","['anchinoe', 'Q3615214', [[12]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q685243'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3615214'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q685243'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3615214'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
19,"['The', 'facility', 'is', 'named', 'after', 'Sabiha', 'Gökçen', ',', 'the', 'first', 'female', 'combat', 'pilot', 'in', 'Turkey', 'and', 'adoptive', 'daughter', 'of', 'Mustafa', 'Kemal', 'Atatürk', ',', 'the', 'founding', 'President', 'of', 'the', 'Republic', 'of', 'Turkey', '.']","['mustafa kemal atatürk', 'Q5152', [[19, 20, 21]]]","['sabiha gökçen', 'Q459104', [[5, 6]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5152'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q459104'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5152'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q459104'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
20,"['They', 'split', 'in', '1932', 'when', 'Adele', 'married', 'her', 'first', 'husband', ',', 'Lord', 'Charles', 'Cavendish', ',', 'second', 'son', 'of', 'the', '9th', 'Duke', 'of', 'Devonshire', '.']","['9th duke of devonshire', 'Q2411883', [[19, 20, 21, 22]]]","['lord charles cavendish', 'Q6679036', [[11, 12, 13]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2411883'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6679036'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2411883'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6679036'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
21,"['Johnny', 'and', 'June', ""'s"", 'son', 'John', 'Carter', 'Cash', 'is', 'Rosanne', ""'s"", 'half', 'brother', '.']","['june', 'Q233253', [[2]]]","['john carter cash', 'Q947101', [[5, 6, 7]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q233253'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q947101'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q233253'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q947101'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P25', 'P40']"
22,"['He', 'was', 'the', 'eldest', 'son', 'of', 'Duke', 'Janusz', 'I', 'of', 'Warsaw', 'and', 'Danutė', 'of', 'Lithuania', ',', 'a', 'daughter', 'of', 'Kęstutis', '.']","['kęstutis', 'Q355869', [[19]]]","['danutė of lithuania', 'Q2083692', [[12, 13, 14]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q355869'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2083692'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q355869'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2083692'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
23,"['She', 'is', 'the', 'wife', 'of', 'Bollywood', 'actor', ',', 'Jackie', 'Shroff', 'and', 'mother', 'of', 'Tiger', 'Shroff', 'and', 'Krishna', 'Shroff', '.']","['jackie shroff', 'Q560178', [[8, 9]]]","['tiger shroff', 'Q16202406', [[13, 14]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q560178'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q16202406'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q560178'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q16202406'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
24,"['In', 'the', 'subsequent', 'peace', 'negotiations', ',', 'Theoderic', 'gave', 'his', 'daughter', 'Marguerite', 'in', 'marriage', 'to', 'Baldwin', 'IV', ""'s"", 'son', ',', 'the', 'future', 'Baldwin', 'V', ',', 'Count', 'of', 'Hainaut', '.']","['baldwin iv', 'Q703389', [[14, 15]]]","['baldwin v, count of hainaut', 'Q469598', [[21, 22, 23, 24, 25, 26]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q703389'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q469598'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q703389'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q469598'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
25,"['He', 'was', 'active', 'during', 'the', 'reign', 'of', 'Boris', 'I', '(', '852–889', ')', 'and', 'his', 'son', 'Simeon', 'I', '(', '893–927', ')', '.']","['boris i', 'Q311057', [[7, 8]]]","['simeon i', 'Q192264', [[15, 16]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q311057'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q192264'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q311057'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q192264'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
26,"['Lance', 'later', 'appears', 'in', 'The', 'Titans', 'as', 'a', 'friend', 'of', 'Jesse', 'Quick', ""'s"", 'mother', ',', 'the', 'aged', 'heroine', 'Liberty', 'Belle', '.']","['liberty belle', 'Q3831740', [[18, 19]]]","['jesse quick', 'Q1619728', [[10, 11]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3831740'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1619728'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3831740'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1619728'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
27,"['David', 'and', 'Ann', 'Richards', 'had', 'four', 'children', 'Cecile', ',', 'Daniel', ',', 'Clark', ',', 'and', 'Ellen', '.']","['ann richards', 'Q237918', [[2, 3]]]","['cecile', 'Q5056393', [[7]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q237918'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5056393'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q237918'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5056393'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P25'}}]","['P40', 'P25']"
28,"['He', 'yearned', 'the', 'company', 'of', 'children', 'of', 'his', 'own', 'age', 'and', 'frequently', 'played', 'with', 'Emperor', 'Alexander', 'III', '’s', 'youngest', 'children', ',', 'Michael', 'and', 'Olga', '.']","['emperor alexander iii', 'Q120180', [[14, 15, 16]]]","['michael', 'Q154444', [[21]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q120180'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q154444'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q120180'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q154444'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
29,"['He', 'was', 'the', 'son', 'of', 'Flemish', 'painter', 'Jan', 'Massys', ',', 'Matsys', ',', 'or', 'Metsys', 'and', 'the', 'grandson', 'and', 'namesake', 'of', 'Quentin', 'Massys', 'or', 'Metsys', '.']","['quentin massys or metsys', 'Q314275', [[20, 21, 22, 23]]]","['jan massys, matsys, or metsys', 'Q431137', [[7, 8, 9, 10, 11, 12, 13]]]",child,"subject has object as biological, foster, and/or adoptive child",P40,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q314275'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q431137'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q314275'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q431137'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
